formula,A1,A2,B1,B2,X,is_alloy,x_frac,Eg,dHf,dHd,A1_NdValence,A1_NValence,A1_Electronegativity,A1_AtomicRadius,A1_GSbandgap,A1_GSmagmom,A1_MeltingT,A2_NdValence,A2_NValence,A2_Electronegativity,A2_AtomicRadius,A2_GSbandgap,A2_GSmagmom,A2_MeltingT,B1_NdValence,B1_NValence,B1_Electronegativity,B1_AtomicRadius,B1_GSbandgap,B1_GSmagmom,B1_MeltingT,B2_NdValence,B2_NValence,B2_Electronegativity,B2_AtomicRadius,B2_GSbandgap,B2_GSmagmom,B2_MeltingT,X_NdValence,X_NValence,X_Electronegativity,X_AtomicRadius,X_GSbandgap,X_GSmagmom,X_MeltingT
Rb4MnCo3I12,Rb,,Mn,Co,I,True,0.75,0.0,-0.6578022500000003,0.17058936139664782,0.0,1.0,0.82,2.35,0.0,0.0,312.46,,,,,,,,5.0,7.0,1.55,1.4,0.0,0.000310120689655,1519.0,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,10.0,17.0,2.66,1.4,1.062,0.0,386.85
Cs4Ca3CoF12,Cs,,Ca,Co,F,True,0.25,0.5567,-3.350101,0.012538760076219901,0.0,1.0,0.79,2.6,0.0,0.0,301.59,,,,,,,,0.0,2.0,1.0,1.8,0.0,0.0,1115.0,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,0.0,7.0,3.98,0.5,1.97,0.0,53.5
Cs2CaCoF6,Cs,,Ca,Co,F,True,0.5,0.04420000000000002,-2.9990362499999996,0.0327257701524406,0.0,1.0,0.79,2.6,0.0,0.0,301.59,,,,,,,,0.0,2.0,1.0,1.8,0.0,0.0,1115.0,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,0.0,7.0,3.98,0.5,1.97,0.0,53.5
Cs4CaCo3F12,Cs,,Ca,Co,F,True,0.75,0.3455999999999997,-2.6568464999999994,0.04403778022866156,0.0,1.0,0.79,2.6,0.0,0.0,301.59,,,,,,,,0.0,2.0,1.0,1.8,0.0,0.0,1115.0,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,0.0,7.0,3.98,0.5,1.97,0.0,53.5
Na2K2Co3ZnF12,Na,K,Co,Zn,F,True,0.25,0.2041000000000004,-2.4392709999999993,0.03366782264716406,0.0,1.0,0.93,1.8,0.0,0.0,370.87,0.0,1.0,0.82,2.2,0.0,0.0,336.53,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,10.0,12.0,1.65,1.35,0.0,0.0,692.68,0.0,7.0,3.98,0.5,1.97,0.0,53.5
NaKCoZnF6,Na,K,Co,Zn,F,True,0.5,0.3346,-2.5278537500000002,0.03887208006382892,0.0,1.0,0.93,1.8,0.0,0.0,370.87,0.0,1.0,0.82,2.2,0.0,0.0,336.53,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,10.0,12.0,1.65,1.35,0.0,0.0,692.68,0.0,7.0,3.98,0.5,1.97,0.0,53.5
Na2K2CoZn3F12,Na,K,Co,Zn,F,True,0.75,0.48529999999999984,-2.6164065,0.043592022063828395,0.0,1.0,0.93,1.8,0.0,0.0,370.87,0.0,1.0,0.82,2.2,0.0,0.0,336.53,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,10.0,12.0,1.65,1.35,0.0,0.0,692.68,0.0,7.0,3.98,0.5,1.97,0.0,53.5
Rb2Cs2Mg3CrCl12,Rb,Cs,Mg,Cr,Cl,True,0.25,0.0,-1.9761594999999996,0.047949097017307984,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,0.0,2.0,1.31,1.5,0.0,0.0,923.0,5.0,6.0,1.66,1.4,0.0,0.0,2180.0,0.0,7.0,3.16,1.0,2.493,0.0,171.6
RbCsMgCrCl6,Rb,Cs,Mg,Cr,Cl,True,0.5,0.0,-1.85023325,0.05349673095480689,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,0.0,2.0,1.31,1.5,0.0,0.0,923.0,5.0,6.0,1.66,1.4,0.0,0.0,2180.0,0.0,7.0,3.16,1.0,2.493,0.0,171.6
Rb2Cs2MgCr3Cl12,Rb,Cs,Mg,Cr,Cl,True,0.75,0.0,-1.7245184999999998,0.05730573132980599,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,0.0,2.0,1.31,1.5,0.0,0.0,923.0,5.0,6.0,1.66,1.4,0.0,0.0,2180.0,0.0,7.0,3.16,1.0,2.493,0.0,171.6
Rb2Cs2Cd3PbCl12,Rb,Cs,Cd,Pb,Cl,True,0.25,2.1263,-1.6675892499999996,0.02757390053814035,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,10.0,12.0,1.69,1.55,0.0,0.0,594.22,10.0,28.0,2.33,1.8,0.0,0.0,600.61,0.0,7.0,3.16,1.0,2.493,0.0,171.6
RbCsCdPbCl6,Rb,Cs,Cd,Pb,Cl,True,0.5,2.2195,-1.6818037499999996,0.024752613038140137,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,10.0,12.0,1.69,1.55,0.0,0.0,594.22,10.0,28.0,2.33,1.8,0.0,0.0,600.61,0.0,7.0,3.16,1.0,2.493,0.0,171.6
Rb2Cs2CdPb3Cl12,Rb,Cs,Cd,Pb,Cl,True,0.75,2.6595999999999997,-1.69671275,0.02112193162147058,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,10.0,12.0,1.69,1.55,0.0,0.0,594.22,10.0,28.0,2.33,1.8,0.0,0.0,600.61,0.0,7.0,3.16,1.0,2.493,0.0,171.6
Rb4Co3CuBr12,Rb,,Co,Cu,Br,True,0.25,0.0,-1.0088770000000005,0.11150173019949916,0.0,1.0,0.82,2.35,0.0,0.0,312.46,,,,,,,,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,10.0,11.0,1.9,1.35,0.0,0.0,1357.77,10.0,17.0,2.96,1.15,1.457,0.0,265.8
Rb2CoCuBr6,Rb,,Co,Cu,Br,True,0.5,0.0,-1.0363785,0.07759050582450211,0.0,1.0,0.82,2.35,0.0,0.0,312.46,,,,,,,,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,10.0,11.0,1.9,1.35,0.0,0.0,1357.77,10.0,17.0,2.96,1.15,1.457,0.0,265.8
Rb4CoCu3Br12,Rb,,Co,Cu,Br,True,0.75,0.03280000000000005,-1.076819,0.02448016683712595,0.0,1.0,0.82,2.35,0.0,0.0,312.46,,,,,,,,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,10.0,11.0,1.9,1.35,0.0,0.0,1357.77,10.0,17.0,2.96,1.15,1.457,0.0,265.8
Rb2Cs2Cr3MnCl12,Rb,Cs,Cr,Mn,Cl,True,0.25,0.0,-1.61658525,0.052645081382562076,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,5.0,6.0,1.66,1.4,0.0,0.0,2180.0,5.0,7.0,1.55,1.4,0.0,0.000310120689655,1519.0,0.0,7.0,3.16,1.0,2.493,0.0,171.6
RbCsCrMnCl6,Rb,Cs,Cr,Mn,Cl,True,0.5,0.0,-1.629007,0.04953518106031041,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,5.0,6.0,1.66,1.4,0.0,0.0,2180.0,5.0,7.0,1.55,1.4,0.0,0.000310120689655,1519.0,0.0,7.0,3.16,1.0,2.493,0.0,171.6
Rb2Cs2CrMn3Cl12,Rb,Cs,Cr,Mn,Cl,True,0.75,0.0,-1.6420772500000005,0.04384294347832185,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,5.0,6.0,1.66,1.4,0.0,0.0,2180.0,5.0,7.0,1.55,1.4,0.0,0.000310120689655,1519.0,0.0,7.0,3.16,1.0,2.493,0.0,171.6
