formula,alloy_id,A1,A2,B1,B2,X,is_alloy,x_frac,Eg,dHf,dHd,Efermi,Ag_up_vbm_orb_idx,Ag_up_vbm_frac,Cs_up_vbm_orb_idx,Cs_up_vbm_frac,Cd_up_vbm_orb_idx,Cd_up_vbm_frac,Co_up_vbm_orb_idx,Co_up_vbm_frac,F_up_vbm_orb_idx,F_up_vbm_frac,Ag_up_cbm_orb_idx,Ag_up_cbm_frac,Cs_up_cbm_orb_idx,Cs_up_cbm_frac,Cd_up_cbm_orb_idx,Cd_up_cbm_frac,Co_up_cbm_orb_idx,Co_up_cbm_frac,F_up_cbm_orb_idx,F_up_cbm_frac,Ag_down_vbm_orb_idx,Ag_down_vbm_frac,Cs_down_vbm_orb_idx,Cs_down_vbm_frac,Cd_down_vbm_orb_idx,Cd_down_vbm_frac,Co_down_vbm_orb_idx,Co_down_vbm_frac,F_down_vbm_orb_idx,F_down_vbm_frac,Ag_down_cbm_orb_idx,Ag_down_cbm_frac,Cs_down_cbm_orb_idx,Cs_down_cbm_frac,Cd_down_cbm_orb_idx,Cd_down_cbm_frac,Co_down_cbm_orb_idx,Co_down_cbm_frac,F_down_cbm_orb_idx,F_down_cbm_frac,Cu_up_vbm_orb_idx,Cu_up_vbm_frac,Cu_up_cbm_orb_idx,Cu_up_cbm_frac,Cu_down_vbm_orb_idx,Cu_down_vbm_frac,Cu_down_cbm_orb_idx,Cu_down_cbm_frac,Mg_up_vbm_orb_idx,Mg_up_vbm_frac,Mg_up_cbm_orb_idx,Mg_up_cbm_frac,Mg_down_vbm_orb_idx,Mg_down_vbm_frac,Mg_down_cbm_orb_idx,Mg_down_cbm_frac,Ca_up_vbm_orb_idx,Ca_up_vbm_frac,Ca_up_cbm_orb_idx,Ca_up_cbm_frac,Ca_down_vbm_orb_idx,Ca_down_vbm_frac,Ca_down_cbm_orb_idx,Ca_down_cbm_frac,Cl_up_vbm_orb_idx,Cl_up_vbm_frac,Cl_up_cbm_orb_idx,Cl_up_cbm_frac,Cl_down_vbm_orb_idx,Cl_down_vbm_frac,Cl_down_cbm_orb_idx,Cl_down_cbm_frac,Br_up_vbm_orb_idx,Br_up_vbm_frac,Br_up_cbm_orb_idx,Br_up_cbm_frac,Br_down_vbm_orb_idx,Br_down_vbm_frac,Br_down_cbm_orb_idx,Br_down_cbm_frac,Ni_up_vbm_orb_idx,Ni_up_vbm_frac,Ni_up_cbm_orb_idx,Ni_up_cbm_frac,Ni_down_vbm_orb_idx,Ni_down_vbm_frac,Ni_down_cbm_orb_idx,Ni_down_cbm_frac,Zn_up_vbm_orb_idx,Zn_up_vbm_frac,Zn_up_cbm_orb_idx,Zn_up_cbm_frac,Zn_down_vbm_orb_idx,Zn_down_vbm_frac,Zn_down_cbm_orb_idx,Zn_down_cbm_frac,Ba_up_vbm_orb_idx,Ba_up_vbm_frac,Pb_up_vbm_orb_idx,Pb_up_vbm_frac,Ba_up_cbm_orb_idx,Ba_up_cbm_frac,Pb_up_cbm_orb_idx,Pb_up_cbm_frac,Ba_down_vbm_orb_idx,Ba_down_vbm_frac,Pb_down_vbm_orb_idx,Pb_down_vbm_frac,Ba_down_cbm_orb_idx,Ba_down_cbm_frac,Pb_down_cbm_orb_idx,Pb_down_cbm_frac,I_up_vbm_orb_idx,I_up_vbm_frac,I_up_cbm_orb_idx,I_up_cbm_frac,I_down_vbm_orb_idx,I_down_vbm_frac,I_down_cbm_orb_idx,I_down_cbm_frac,Cr_up_vbm_orb_idx,Cr_up_vbm_frac,Cr_up_cbm_orb_idx,Cr_up_cbm_frac,Cr_down_vbm_orb_idx,Cr_down_vbm_frac,Cr_down_cbm_orb_idx,Cr_down_cbm_frac,Fe_up_vbm_orb_idx,Fe_up_vbm_frac,Fe_up_cbm_orb_idx,Fe_up_cbm_frac,Fe_down_vbm_orb_idx,Fe_down_vbm_frac,Fe_down_cbm_orb_idx,Fe_down_cbm_frac,Mn_up_vbm_orb_idx,Mn_up_vbm_frac,Mn_up_cbm_orb_idx,Mn_up_cbm_frac,Mn_down_vbm_orb_idx,Mn_down_vbm_frac,Mn_down_cbm_orb_idx,Mn_down_cbm_frac,Pd_up_vbm_orb_idx,Pd_up_vbm_frac,Pd_up_cbm_orb_idx,Pd_up_cbm_frac,Pd_down_vbm_orb_idx,Pd_down_vbm_frac,Pd_down_cbm_orb_idx,Pd_down_cbm_frac,Sn_up_vbm_orb_idx,Sn_up_vbm_frac,Sn_up_cbm_orb_idx,Sn_up_cbm_frac,Sn_down_vbm_orb_idx,Sn_down_vbm_frac,Sn_down_cbm_orb_idx,Sn_down_cbm_frac,Sr_up_vbm_orb_idx,Sr_up_vbm_frac,Sr_up_cbm_orb_idx,Sr_up_cbm_frac,Sr_down_vbm_orb_idx,Sr_down_vbm_frac,Sr_down_cbm_orb_idx,Sr_down_cbm_frac,Ti_up_vbm_orb_idx,Ti_up_vbm_frac,Ti_up_cbm_orb_idx,Ti_up_cbm_frac,Ti_down_vbm_orb_idx,Ti_down_vbm_frac,Ti_down_cbm_orb_idx,Ti_down_cbm_frac,V_up_vbm_orb_idx,V_up_vbm_frac,V_up_cbm_orb_idx,V_up_cbm_frac,V_down_vbm_orb_idx,V_down_vbm_frac,V_down_cbm_orb_idx,V_down_cbm_frac,Pt_up_vbm_orb_idx,Pt_up_vbm_frac,Pt_up_cbm_orb_idx,Pt_up_cbm_frac,Pt_down_vbm_orb_idx,Pt_down_vbm_frac,Pt_down_cbm_orb_idx,Pt_down_cbm_frac,K_up_vbm_orb_idx,K_up_vbm_frac,K_up_cbm_orb_idx,K_up_cbm_frac,K_down_vbm_orb_idx,K_down_vbm_frac,K_down_cbm_orb_idx,K_down_cbm_frac,Rb_up_vbm_orb_idx,Rb_up_vbm_frac,Rb_up_cbm_orb_idx,Rb_up_cbm_frac,Rb_down_vbm_orb_idx,Rb_down_vbm_frac,Rb_down_cbm_orb_idx,Rb_down_cbm_frac,Li_up_vbm_orb_idx,Li_up_vbm_frac,Li_up_cbm_orb_idx,Li_up_cbm_frac,Li_down_vbm_orb_idx,Li_down_vbm_frac,Li_down_cbm_orb_idx,Li_down_cbm_frac,Na_up_vbm_orb_idx,Na_up_vbm_frac,Na_up_cbm_orb_idx,Na_up_cbm_frac,Na_down_vbm_orb_idx,Na_down_vbm_frac,Na_down_cbm_orb_idx,Na_down_cbm_frac
K4Co3BaBr12,K2CoBaBr6,K,,Co,Ba,Br,True,0.25,0.26360000000000006,-1.2519535000000004,0.12580441994950142,0.56601137,,,,,,,2.0,0.3333,,,,,,,,,0.0,1.0,,,,,,,,,2.0,0.9565,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6667,-1.0,0.0,1.0,0.0435,-1.0,0.0,,,,,,,,,,,,,,,,,-1.0,0.0,,,-1.0,0.0,,,-1.0,0.0,,,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
K2CoBaBr6,K2CoBaBr6,K,,Co,Ba,Br,True,0.5,0.2262,-1.55704475,0.10870546511616741,0.35379681,,,,,,,2.0,0.3333,,,,,,,,,-1.0,0.0,,,,,,,,,2.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6667,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,-1.0,0.0,,,-1.0,0.0,,,-1.0,0.0,,,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
K4CoBa3Br12,K2CoBaBr6,K,,Co,Ba,Br,True,0.75,0.47819999999999996,-1.8718804999999996,0.08186201028283291,-0.15270105,,,,,,,2.0,0.5556,,,,,,,,,-1.0,0.0,,,,,,,,,2.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.4444,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,-1.0,0.0,,,-1.0,0.0,,,-1.0,0.0,,,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Rb4Sn3PbF12,Rb2SnPbF6,Rb,,Sn,Pb,F,True,0.25,3.6458,-2.70974175,0.007618308369666593,0.56589508,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,,,-1.0,0.0,,,-1.0,0.0,,,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,
Rb2SnPbF6,Rb2SnPbF6,Rb,,Sn,Pb,F,True,0.5,3.2955999999999994,-2.70441075,0.019691616739333284,0.82913783,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,,,-1.0,0.0,,,-1.0,0.0,,,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,
Rb4SnPb3F12,Rb2SnPbF6,Rb,,Sn,Pb,F,True,0.75,3.3281,-2.7052785,0.025566175108997058,0.80465444,,,,,,,,,1.0,0.45,,,,,,,,,-1.0,0.0,,,,,,,,,1.0,0.45,,,,,,,,,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.25,,,-1.0,0.0,,,0.0,0.25,,,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3,-1.0,0.0,0.0,0.3,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,
K4Co3SnCl12,K2CoSnCl6,K,,Co,Sn,Cl,True,0.25,0.015800000000000036,-1.3419884999999998,0.10131980446403155,1.60970562,,,,,,,2.0,0.2777,,,,,,,,,2.0,0.2777,,,,,,,,,2.0,0.9516,,,,,,,,,2.0,0.9516,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5374,1.0,0.5374,1.0,0.0477,1.0,0.0477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1845,0.0,0.1845,1.0,0.0005,1.0,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0004,1.0,0.0004,1.0,0.0002,1.0,0.0002,,,,,,,,,,,,,,,,,,,,,,,,
K2CoSnCl6,K2CoSnCl6,K,,Co,Sn,Cl,True,0.5,0.2542,-1.4273657499999999,0.11360059455658744,1.45180808,,,,,,,2.0,0.3,,,,,,,,,-1.0,0.0,,,,,,,,,2.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.2,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
K4CoSn3Cl12,K2CoSnCl6,K,,Co,Sn,Cl,True,0.75,0.3580000000000001,-1.5280272499999998,0.060195191399151415,1.34550097,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3333,-1.0,0.0,1.0,0.5714,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.6667,-1.0,0.0,0.0,0.4286,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Cs4Ti3SrF12,Cs2TiSrF6,Cs,,Ti,Sr,F,True,0.25,0.0,-2.8608675,0.4149106193572889,0.46603964,,,0.0,0.0121,,,,,1.0,0.1148,,,0.0,0.0121,,,,,1.0,0.1148,,,0.0,0.3155,,,,,1.0,0.1827,,,0.0,0.3155,,,,,1.0,0.1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0054,2.0,0.0054,0.0,0.3436,0.0,0.3436,2.0,0.8676,2.0,0.8676,2.0,0.1582,2.0,0.1582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cs2TiSrF6,Cs2TiSrF6,Cs,,Ti,Sr,F,True,0.5,0.0,-3.18852775,0.21425874339774698,1.65972474,,,2.0,0.0031,,,,,1.0,0.0884,,,2.0,0.0031,,,,,1.0,0.0884,,,0.0,0.1295,,,,,1.0,0.0594,,,0.0,0.1295,,,,,1.0,0.0594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0043,2.0,0.0043,2.0,0.0403,2.0,0.0403,2.0,0.9042,2.0,0.9042,2.0,0.7707,2.0,0.7707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cs4TiSr3F12,Cs2TiSrF6,Cs,,Ti,Sr,F,True,0.75,0.0,-3.4500675000000003,0.0797273674382053,4.62931283,,,2.0,0.0044,,,,,1.0,0.0672,,,2.0,0.0044,,,,,1.0,0.0672,,,0.0,0.3608,,,,,0.0,0.3745,,,0.0,0.3608,,,,,0.0,0.3745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0055,2.0,0.0055,0.0,0.2096,0.0,0.2096,2.0,0.9229,2.0,0.9229,0.0,0.0551,0.0,0.0551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K4Mg3PbBr12,K2MgPbBr6,K,,Mg,Pb,Br,True,0.25,3.2131,-1.6741300000000003,0.04304356082450189,-0.23976724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,0.0,0.6667,-1.0,0.0,0.0,0.6667,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,1.0,,,1.0,0.3333,,,0.0,1.0,,,1.0,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
K2MgPbBr6,K2MgPbBr6,K,,Mg,Pb,Br,True,0.5,2.9445,-1.5911180000000003,0.04116559703283551,-0.04309302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,1.0,0.75,-1.0,0.0,1.0,0.75,-1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.25,,,-1.0,0.0,,,0.0,0.25,,,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
K4MgPb3Br12,K2MgPbBr6,K,,Mg,Pb,Br,True,0.75,2.8258,-1.5174274999999995,0.029966133241168258,-0.0431904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,1.0,0.7143,-1.0,0.0,1.0,0.7143,-1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.2857,,,-1.0,0.0,,,0.0,0.2857,,,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Rb2Cs2Mg3SnI12,RbCsMgSnI6,Rb,Cs,Mg,Sn,I,True,0.25,1.9578,-1.2343807499999995,0.04627867254955165,1.40249671,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,
RbCsMgSnI6,RbCsMgSnI6,Rb,Cs,Mg,Sn,I,True,0.5,1.4452,-1.16432175,0.04078075730877817,1.82387458,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6154,-1.0,0.0,1.0,0.6154,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3846,-1.0,0.0,0.0,0.3846,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,
Rb2Cs2MgSn3I12,RbCsMgSnI6,Rb,Cs,Mg,Sn,I,True,0.75,1.4738,-1.1011220000000002,0.028423592068004933,1.91670865,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,,,,,,,-1.0,0.0,0.0,0.1429,-1.0,0.0,0.0,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,-1.0,0.0,1.0,0.5,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.5,1.0,0.8571,0.0,0.5,1.0,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,
K2Rb2Fe3CuBr12,KRbFeCuBr6,K,Rb,Fe,Cu,Br,True,0.25,0.0,-1.1405235000000005,0.05259051819950189,0.54446878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,-1.0,0.0,2.0,0.0096,2.0,0.0096,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,1.0,0.1013,1.0,0.1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,2.0,0.8873,2.0,0.8873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,1.0,0.001,1.0,0.001,-1.0,0.0,-1.0,0.0,1.0,0.0007,1.0,0.0007,,,,,,,,,,,,,,,,
KRbFeCuBr6,KRbFeCuBr6,K,Rb,Fe,Cu,Br,True,0.5,0.0,-1.1442750000000004,0.04261040794950244,0.45757919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.6675,2.0,0.6675,2.0,0.0244,2.0,0.0244,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3188,1.0,0.3188,1.0,0.1151,1.0,0.1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0126,2.0,0.0126,2.0,0.8591,2.0,0.8591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0007,1.0,0.0007,1.0,0.0005,1.0,0.0005,1.0,0.0004,1.0,0.0004,1.0,0.0009,1.0,0.0009,,,,,,,,,,,,,,,,
K2Rb2FeCu3Br12,KRbFeCuBr6,K,Rb,Fe,Cu,Br,True,0.75,0.0,-1.0983362500000002,0.03685316622475154,0.67542637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.4561,2.0,0.4561,2.0,0.2958,2.0,0.2958,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.4533,1.0,0.4533,1.0,0.306,1.0,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0901,2.0,0.0901,2.0,0.398,2.0,0.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0003,1.0,0.0003,1.0,0.0002,1.0,0.0002,1.0,0.0003,1.0,0.0003,1.0,0.0001,1.0,0.0001,,,,,,,,,,,,,,,,
Cs4V3CoI12,Cs2VCoI6,Cs,,V,Co,I,True,0.25,0.0,-0.8367555000000003,0.16563948445699195,2.8600499,,,1.0,0.0027,,,2.0,0.0003,,,,,1.0,0.0027,,,2.0,0.0003,,,,,1.0,0.0013,,,2.0,0.9372,,,,,1.0,0.0013,,,2.0,0.9372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.1119,1.0,0.1119,1.0,0.0586,1.0,0.0586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.8851,2.0,0.8851,2.0,0.003,2.0,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cs2VCoI6,Cs2VCoI6,Cs,,V,Co,I,True,0.5,0.0,-0.7642372500000001,0.17963640995699048,2.74961843,,,1.0,0.0028,,,2.0,0.0029,,,,,1.0,0.0028,,,2.0,0.0029,,,,,1.0,0.0016,,,2.0,0.9306,,,,,1.0,0.0016,,,2.0,0.9306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.1198,1.0,0.1198,1.0,0.0661,1.0,0.0661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.8745,2.0,0.8745,2.0,0.0018,2.0,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cs4VCo3I12,Cs2VCoI6,Cs,,V,Co,I,True,0.75,0.0,-0.6880667500000002,0.18469314562365602,2.67296944,,,1.0,0.0025,,,2.0,0.0178,,,,,1.0,0.0025,,,2.0,0.0178,,,,,1.0,0.0016,,,2.0,0.9243,,,,,1.0,0.0016,,,2.0,0.9243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.1584,1.0,0.1584,1.0,0.073,1.0,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.8214,2.0,0.8214,2.0,0.0012,2.0,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rb2Cs2Zn3CdCl12,RbCsZnCdCl6,Rb,Cs,Zn,Cd,Cl,True,0.25,2.7862,-1.6477127499999997,0.08921466215272522,-0.68278215,,,-1.0,0.0,-1.0,0.0,,,,,,,-1.0,0.0,0.0,0.6667,,,,,,,-1.0,0.0,-1.0,0.0,,,,,,,-1.0,0.0,0.0,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,-1.0,0.0,0.0,0.3333,-1.0,0.0,0.0,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,
