formula,A1,A2,B,X,Eg,direct,dHf,dHd
RbCsSn2Cl6,Rb,Cs,Sn,Cl,1.747,True,-1.6492437499999995,0.008874740241711976
CsMgCl3,Cs,,Mg,Cl,3.9312,True,-2.14187075,0.013488873954806913
CsSrCl3,Cs,,Sr,Cl,5.0814,False,-2.5209222500000004,-0.013510368628524727
RbMnCl3,Rb,,Mn,Cl,1.0145999999999997,True,-1.6564340000000002,0.026519660130092326
RbSnCl3,Rb,,Sn,Cl,2.0445,True,-1.63761225,0.007250640741712999
KRbV2Cl6,K,Rb,V,Cl,0.31369999999999987,False,-1.646718750000001,0.028339834371474026
KCsCr2Cl6,K,Cs,Cr,Cl,0.0,False,-1.592325000000001,0.04583895203813704
KCoF3,K,,Co,F,0.0,False,-2.37308525,0.021316046645332598
KCuF3,K,,Cu,F,0.0,False,-2.3110352499999998,-0.022290873854670323
KCsV2Cl6,K,Cs,V,Cl,0.1741999999999999,False,-1.6457612499999996,0.05827302887147212
KCaCl3,K,,Ca,Cl,5.0388,False,-2.4330369999999997,0.015338092371471213
KCrCl3,K,,Cr,Cl,0.0,False,-1.5778599999999998,0.024622744371470162
KCuCl3,K,,Cu,Cl,0.0,False,-1.3012922499999995,0.00017147337146905528
KRbCd2Cl6,K,Rb,Cd,Cl,2.1914,True,-1.6310439999999997,0.04024150395480541
RbCaCl3,Rb,,Ca,Cl,5.1056,True,-2.463622,-0.003285316628525603
RbVCl3,Rb,,V,Cl,0.23059999999999992,False,-1.6468975000000001,0.028293652371473854
KCsMn2I6,K,Cs,Mn,I,0.8679000000000001,False,-0.9203789999999998,0.07665280954894405
KCsCo2I6,K,Cs,Co,I,0.0,False,-0.5701117500000003,0.21223238745699025
RbCsCo2F6,Rb,Cs,Co,F,0.11630000000000029,False,-2.3271450000000007,0.03126120256199538
RbCsCd2F6,Rb,,Cd,F,3.1799,False,-2.6400075000000003,0.01874901697865905
CsCoCl3,Cs,,Co,Cl,0.29200000000000004,False,-1.26780975,0.13633360587147214
CsNiCl3,Cs,,Ni,Cl,0.0,False,-1.277187,0.0982874753714742
RbCdCl3,Rb,,Cd,Cl,2.0769,True,-1.638908,0.031302464704808575
CsMnBr3,Cs,,Mn,Br,0.9206999999999999,True,-1.3798705000000004,0.06239528545811712
CsSnBr3,Cs,,Sn,Br,0.7084999999999999,True,-1.420606,0.0035848138197431823
CsCuCl3,Cs,,Cu,Cl,0.0,False,-1.32875825,0.011922224704800755
CsPbCl3,Cs,,Pb,Cl,2.5386,True,-1.7348590000000002,-0.0006055836285261407
KNiF3,K,,Ni,F,0.4910000000000001,True,-2.3437709999999994,0.03427458114533355
KRbCd2Br6,K,Rb,Cd,Br,1.6235,False,-1.3759777499999999,0.06301083094950233
RbCsCu2F6,Rb,Cs,Cu,F,0.0,False,-2.2665957500000005,0.007682874999999534
RbCrCl3,Rb,,Cr,Cl,0.0,False,-1.5957452500000002,0.050246553704807795
CsPdI3,Cs,,Pd,I,0.18110000000000004,True,-0.8297574999999998,0.0554302667069857
KRbMg2Cl6,K,Rb,Mg,Cl,4.1819,True,-2.1127914999999997,0.01500286770480841
RbCoF3,Rb,,Co,F,0.0,False,-2.3510925,0.004297623061994216
RbZnF3,Rb,,Zn,F,3.6073,True,-2.7175814999999997,0.027264173603658293
CsMgBr3,Cs,,Mg,Br,2.4836,True,-1.8039625000000001,0.03480043519950016
CsBaBr3,Cs,,Ba,Br,4.1829,True,-2.22089875,0.03907460444950539
KRbCa2Br6,K,Rb,Ca,Br,4.5947,True,-2.1396182500000003,0.001755166949503284
KRbCr2Br6,K,Rb,Cr,Br,0.0,False,-1.2749307500000007,0.04578015028283655
KRbPb2Br6,K,Rb,Pb,Br,2.3707,True,-1.433029,0.03367703994949878
CsZnF3,Cs,,Zn,F,3.5891,True,-2.672982,0.07113893810365868
CsSrF3,Cs,,Sr,F,6.1353,False,-3.63880325,0.017999991478660604
KCsMg2Br6,K,Cs,Mg,Br,2.6922,True,-1.7721575,0.04825572990783522
KCsCo2Br6,K,Cs,Co,Br,0.0,False,-0.9658617499999999,0.1449590277272792
CsCoBr3,Cs,,Co,Br,0.0,False,-0.9919702499999999,0.1399056806717227
KRbNi2Cl6,K,Rb,Ni,Cl,0.0,False,-1.2864292499999999,0.07533596287147404
RbMnF3,Rb,,Mn,F,1.6926999999999999,False,-2.7842297500000006,-0.012441479096048091
RbPbF3,Rb,,Pb,F,3.5803000000000003,True,-2.708711249999999,0.028875733478666454
KCdF3,K,,Cd,F,3.1997,True,-2.6291,0.013142120478660146
CsMgI3,Cs,,Mg,I,1.2100000000000002,True,-1.3195677499999998,0.046966466790325345
CsPbI3,Cs,,Pb,I,1.8453,True,-1.1151977499999997,0.02599398008198639
