alloy_id,A1,A2,B1,B2,X,x,formula,formula_0,formula_100,Eg,direct,dHf,dHd
Rb2MgCoCl6,Rb,,Mg,Co,Cl,75,Rb4MgCo3Cl12,RbMgCl3,RbCoCl3,0.3012999999999999,False,-1.4766460000000001,0.09461449932980459
KCsCaMnCl6,K,Cs,Ca,Mn,Cl,25,K2Cs2Ca3MnCl12,KCsCa2Cl6,KCsMn2Cl6,2.6399999999999997,False,-2.269815499999999,0.011739846875391535
KCsCaMnCl6,K,Cs,Ca,Mn,Cl,50,KCsCaMnCl6,KCsCa2Cl6,KCsMn2Cl6,1.8284999999999998,False,-2.0643177500000007,0.020835568315047404
KCsCaMnCl6,K,Cs,Ca,Mn,Cl,75,K2Cs2CaMn3Cl12,KCsCa2Cl6,KCsMn2Cl6,1.6431999999999998,False,-1.8612775000000006,0.022545878680903186
K2MnNiCl6,K,,Mn,Ni,Cl,25,K4Mn3NiCl12,KMnCl3,KNiCl3,0.0,False,-1.5461415000000003,0.043584545190440416
K2MnNiCl6,K,,Mn,Ni,Cl,50,K2MnNiCl6,KMnCl3,KNiCl3,0.0,False,-1.4636644999999995,0.05131295375078704
K2MnNiCl6,K,,Mn,Ni,Cl,75,K4MnNi3Cl12,KMnCl3,KNiCl3,0.0,False,-1.3783027500000002,0.061926112311128545
K2FeCuF6,K,,Fe,Cu,F,25,K4Fe3CuF12,KFeF3,KCuF3,0.0,False,-2.45028175,0.09765207897866635
K2FeCuF6,K,,Fe,Cu,F,50,K2FeCuF6,KFeF3,KCuF3,0.0,False,-2.45400875,0.03845803616616639
K2FeCuF6,K,,Fe,Cu,F,75,K4FeCu3F12,KFeF3,KCuF3,0.0,False,-2.4052927499999996,-0.0016134464508317237
RbCsCrMnBr6,Rb,Cs,Cr,Mn,Br,25,Rb2Cs2Cr3MnBr12,RbCsCr2Br6,RbCsMn2Br6,0.0,False,-1.31643525,0.051044519180823755
RbCsCrMnBr6,Rb,Cs,Cr,Mn,Br,50,RbCsCrMnBr6,RbCsCr2Br6,RbCsMn2Br6,0.0,False,-1.3284632500000009,0.0554698604121473
RbCsCrMnBr6,Rb,Cs,Cr,Mn,Br,75,Rb2Cs2CrMn3Br12,RbCsCr2Br6,RbCsMn2Br6,0.0,False,-1.3423215,0.05684733674763365
RbCsNiPbF6,Rb,Cs,Ni,Pb,F,25,Rb2Cs2Ni3PbF12,RbCsNi2F6,RbCsPb2F6,0.23930000000000007,True,-2.39977925,0.066238995978666
RbCsNiPbF6,Rb,Cs,Ni,Pb,F,50,RbCsNiPbF6,RbCsNi2F6,RbCsPb2F6,0.2814000000000001,False,-2.49443375,0.06959994039888606
RbCsNiPbF6,Rb,Cs,Ni,Pb,F,75,Rb2Cs2NiPb3F12,RbCsNi2F6,RbCsPb2F6,1.1805999999999999,False,-2.6135605000000006,0.036611764739334696
RbCsSrCdCl6,Rb,Cs,Sr,Cd,Cl,25,Rb2Cs2Sr3CdCl12,RbCsSr2Cl6,RbCsCd2Cl6,3.9965,False,-2.28964125,0.018174398528609803
RbCsSrCdCl6,Rb,Cs,Sr,Cd,Cl,50,RbCsSrCdCl6,RbCsSr2Cl6,RbCsCd2Cl6,3.0351,False,-2.0763892499999996,0.025626669371472843
RbCsSrCdCl6,Rb,Cs,Sr,Cd,Cl,75,Rb2Cs2SrCd3Cl12,RbCsSr2Cl6,RbCsCd2Cl6,2.5829,False,-1.8617502499999996,0.03117550553813908
Cs2CaBaI6,Cs,,Ca,Ba,I,25,Cs4Ca3BaI12,CsCaI3,CsBaI3,3.6859,True,-1.72468325,0.016738993956991965
Cs2CaBaI6,Cs,,Ca,Ba,I,50,Cs2CaBaI6,CsCaI3,CsBaI3,3.6298,False,-1.7422159999999998,0.02295766845699232
Cs2CaBaI6,Cs,,Ca,Ba,I,75,Cs4CaBa3I12,CsCaI3,CsBaI3,3.6524,False,-1.76017725,0.028747842956991843
RbCsCoCdBr6,Rb,Cs,Co,Cd,Br,25,Rb2Cs2Co3CdBr12,RbCsCo2Br6,RbCsCd2Br6,0.15180000000000005,False,-1.08534225,0.12259386149116747
RbCsCoCdBr6,Rb,Cs,Co,Cd,Br,50,RbCsCoCdBr6,RbCsCo2Br6,RbCsCd2Br6,0.24440000000000006,True,-1.18805175,0.10539674940783428
RbCsCoCdBr6,Rb,Cs,Co,Cd,Br,75,Rb2Cs2CoCd3Br12,RbCsCo2Br6,RbCsCd2Br6,0.38849999999999996,True,-1.2939407500000002,0.08502013732450031
K2MgVCl6,K,,Mg,V,Cl,25,K4Mg3VCl12,KMgCl3,KVCl3,1.0624000000000002,True,-1.99223025,0.018400007246473837
K2MgVCl6,K,,Mg,V,Cl,50,K2MgVCl6,KMgCl3,KVCl3,0.5598000000000001,False,-1.8767097499999998,0.022576831288141364
K2MgVCl6,K,,Mg,V,Cl,75,K4MgV3Cl12,KMgCl3,KVCl3,0.49729999999999963,False,-1.7616777499999998,0.025428548829807163
Cs2CaCrCl6,Cs,,Ca,Cr,Cl,25,Cs4Ca3CrCl12,CsCaCl3,CsCrCl3,0.0,False,-2.2557617500000005,0.04207353992620089
Cs2CaCrCl6,Cs,,Ca,Cr,Cl,50,Cs2CaCrCl6,CsCaCl3,CsCrCl3,0.0,False,-2.04031875,0.049519829852403774
Cs2CaCrCl6,Cs,,Ca,Cr,Cl,75,Cs4CaCr3Cl12,CsCaCl3,CsCrCl3,0.07160000000000011,False,-1.8273027500000005,0.05453911977860404
Cs2CaCdBr6,Cs,,Ca,Cd,Br,25,Cs4Ca3CdBr12,CsCaBr3,CsCdBr3,3.0288,True,-1.98878125,0.01619125772475183
Cs2CaCdBr6,Cs,,Ca,Cd,Br,50,Cs2CaCdBr6,CsCaBr3,CsCdBr3,1.9830999999999999,True,-1.7962455000000002,0.03342326544950147
Cs2CaCdBr6,Cs,,Ca,Cd,Br,75,Cs4CaCd3Br12,CsCaBr3,CsCdBr3,1.4283000000000001,True,-1.6040367499999995,0.04824722419950156
Cs2MnSnCl6,Cs,,Mn,Sn,Cl,25,Cs4Mn3SnCl12,CsMnCl3,CsSnCl3,1.4593999999999998,False,-1.6828189999999998,0.0160567226466366
Cs2MnSnCl6,Cs,,Mn,Sn,Cl,50,Cs2MnSnCl6,CsMnCl3,CsSnCl3,1.5121,False,-1.6739477500000006,0.015424116458632398
Cs2MnSnCl6,Cs,,Mn,Sn,Cl,75,Cs4MnSn3Cl12,CsMnCl3,CsSnCl3,1.7600000000000002,False,-1.6742409999999999,0.011553706255474694
RbCsMgMnF6,Rb,Cs,Mg,Mn,F,25,Rb2Cs2Mg3MnF12,RbCsMg2F6,RbCsMn2F6,3.0103,False,-3.266249249999999,0.03545608604332262
RbCsMgMnF6,Rb,Cs,Mg,Mn,F,50,RbCsMgMnF6,RbCsMg2F6,RbCsMn2F6,2.1461000000000006,False,-3.1010400000000002,0.02700346971531875
RbCsMgMnF6,Rb,Cs,Mg,Mn,F,75,Rb2Cs2MgMn3F12,RbCsMg2F6,RbCsMn2F6,2.0588,False,-2.937317,0.0170646033873183
K2MnZnF6,K,,Mn,Zn,F,25,K4Mn3ZnF12,KMnF3,KZnF3,1.2541000000000002,False,-2.77592675,0.01872968821429488
K2MnZnF6,K,,Mn,Zn,F,50,K2MnZnF6,KMnF3,KZnF3,0.9669000000000001,False,-2.763249749999999,0.02366440769130751
